config_name,num_engineers,num_sales,num_marketing,num_hr,num_mgmt,total_headcount,run_id,survived,survival_duration,final_market_fit,final_market_share,final_revenue,final_cash_runway,final_tech_debt,final_bugs,avg_market_fit,avg_revenue,avg_team_morale,max_market_share,pivots_used,funding_rounds,market_fit_50_step,market_share_5_step,revenue_per_employee,market_share_per_employee
Small Eng Team,5,5,3,1,1,15,0,True,200,100.0,6.267816758279334,103.94884202175281,10283.960541204042,20.52549493900755,0.0,91.7190378671467,77.4198027060202,87.7720890598105,7.745086408638909,0,0,0,89,6.9299228014501875,0.41785445055195564
Small Eng Team,5,5,3,1,1,15,1,True,200,100.0,7.495096094860954,118.96352492120221,10484.218849639747,20.791167113072042,0.0,91.0101663187895,77.6210942481987,84.73328506686444,8.762328146074053,0,0,0,100,7.930901661413481,0.49967307299073027
Small Eng Team,5,5,3,1,1,15,2,True,200,100.0,6.03550206375836,98.48323108268545,8565.14922105438,23.562071335980892,0.0,91.01287559704342,67.8257461052719,83.53224493643374,7.977610707302891,0,0,0,101,6.565548738845696,0.4023668042505573
Small Eng Team,5,5,3,1,1,15,3,True,200,100.0,7.2860112061084195,109.35079464374294,10094.203973429103,21.210007097917085,0.0,91.48350563642707,77.97101986714551,87.33024665000609,9.172182652748335,0,0,0,91,7.290052976249529,0.485734080407228
Small Eng Team,5,5,3,1,1,15,4,True,200,100.0,7.546465811157411,117.71207020872964,11281.334459510414,21.221565006046664,0.0,91.58309229981597,83.90667229755206,89.94511948285333,8.415246350743882,0,0,0,88,7.847471347248643,0.5030977207438274
Small Eng Team,5,5,3,1,1,15,5,True,200,100.0,8.181641005283765,129.66771529012803,10130.030330823578,22.63314812878377,0.0,91.19818421960487,71.65015165411788,83.5789527450982,8.457281289956445,0,0,0,95,8.644514352675202,0.5454427336855844
Small Eng Team,5,5,3,1,1,15,6,True,200,100.0,5.316645423862731,118.95427997036926,10814.999378754397,21.307064476317088,0.0,91.1802388688202,77.07499689377201,87.76665346365938,7.5943790248342,0,0,0,92,7.93028533135795,0.3544430282575154
Small Eng Team,5,5,3,1,1,15,7,True,200,100.0,5.571207304276605,103.87141648111069,9976.586948705262,20.992149390566887,0.0,91.64431481826486,75.88293474352629,88.02364830871265,7.043478020986404,0,0,0,94,6.924761098740713,0.371413820285107
Small Eng Team,5,5,3,1,1,15,8,True,200,100.0,6.383200017036794,102.05102506534072,9848.036506997938,21.34864908627758,0.0,91.6646234579272,76.74018253498971,87.53569748955883,7.468398950977583,0,0,0,87,6.803401671022715,0.4255466678024529
Small Eng Team,5,5,3,1,1,15,9,True,200,100.0,6.289700625554806,100.25958639563298,10184.40018100805,20.865527793753753,0.0,91.46679364828691,76.92200090504025,87.13866134031495,8.5672194416925,0,0,0,94,6.683972426375532,0.41931337503698707
Small Eng Team,5,5,3,1,1,15,10,True,200,100.0,5.498634263595463,83.7565463312781,8930.229884764838,26.452378717019393,0.0,89.99565679177061,57.75114942382419,78.35364540568791,6.780348769876649,0,0,0,107,5.58376975541854,0.36657561757303087
Small Eng Team,5,5,3,1,1,15,11,True,200,100.0,6.278588871122951,97.11015675705546,11045.064023148654,20.700584082144825,0.0,90.91282908397066,81.22532011574323,86.83478791385176,8.09893978380504,0,0,0,93,6.474010450470364,0.4185725914081967
Small Eng Team,5,5,3,1,1,15,12,True,200,100.0,7.025685990826337,136.49097769192315,10595.439044427067,21.063846230867004,0.0,91.54277305664205,76.87719522213533,85.71800836640243,7.781914816648048,0,0,0,98,9.099398512794876,0.4683790660550891
Small Eng Team,5,5,3,1,1,15,13,True,200,100.0,5.337746088469818,82.55236020857075,11055.456092115526,21.14237923598411,0.0,91.53828285384535,81.87728046057761,87.7009662861764,8.697445464934022,0,0,0,95,5.5034906805713835,0.35584973923132124
Small Eng Team,5,5,3,1,1,15,14,True,200,100.0,7.195265781650061,116.9720234913507,10630.51237411737,20.82189381519426,0.0,91.2548447835788,79.15256187058685,85.25559142920513,8.643993465506645,0,0,0,106,7.7981348994233795,0.4796843854433374
Medium Eng Team,10,5,3,1,1,20,0,True,200,100.0,7.5164291075115495,135.97616209504622,12535.656093990026,20.90021951339182,0.0,91.02537450997107,79.27828046995013,82.37098845279235,8.60396991789047,0,0,0,113,6.798808104752311,0.3758214553755775
Medium Eng Team,10,5,3,1,1,20,1,True,200,100.0,7.874588535164429,129.05719395608295,11057.35055152903,23.232423231109017,0.0,89.59805123006386,74.88675275764517,82.94619358243777,8.482381331241783,0,0,0,94,6.452859697804148,0.3937294267582215
Medium Eng Team,10,5,3,1,1,20,2,True,200,100.0,5.518794464582244,93.28348051759133,11105.858443623738,21.116275840296055,0.0,91.45800673743551,78.5292922181187,86.25772679853755,8.822919689536883,0,0,0,91,4.664174025879566,0.2759397232291122
Medium Eng Team,10,5,3,1,1,20,3,True,200,100.0,5.82853892094456,110.33532602410375,11961.477274534309,21.29997465092818,0.0,90.4843795098878,76.80738637267153,82.2324700547398,8.616728507492404,0,0,0,93,5.5167663012051875,0.29142694604722796
Medium Eng Team,10,5,3,1,1,20,4,True,200,100.0,5.977691370796157,98.89261109591713,11175.785037777652,21.761753990369773,0.0,90.07276422083673,73.47892518888825,82.10252981680827,7.63760121419298,0,0,0,103,4.9446305547958564,0.2988845685398079
Medium Eng Team,10,5,3,1,1,20,5,True,200,100.0,7.668992712484549,122.02261673492794,9573.859103664665,21.75657116721191,0.0,90.7879216287297,69.86929551832336,85.25688632289906,7.668992712484549,0,0,0,102,6.101130836746397,0.38344963562422746
Medium Eng Team,10,5,3,1,1,20,6,True,200,100.0,7.784939680930777,125.1123335597045,11839.78808285716,21.276490508775336,0.0,91.16080771314519,82.1989404142858,87.495495595986,8.466870743023843,0,0,0,93,6.255616677985225,0.38924698404653885
Medium Eng Team,10,5,3,1,1,20,7,True,200,100.0,6.648638657213778,106.91236049564745,11318.100570747265,20.937654189937977,0.0,91.1949676723098,79.09050285373635,86.80102280364689,8.299843150973304,0,0,0,97,5.345618024782373,0.3324319328606889
Medium Eng Team,10,5,3,1,1,20,8,True,200,100.0,7.122970865557495,112.98026154276165,10275.646055320518,21.159082194634156,0.0,90.69808714265083,74.37823027660261,86.80073064387594,7.371310699927006,0,0,0,97,5.649013077138083,0.3561485432778747
Medium Eng Team,10,5,3,1,1,20,9,True,200,100.0,8.103143057677762,131.9280824965404,13001.155264119865,20.676404774603448,0.0,91.1918896493755,85.00577632059937,84.63157141241183,8.103143057677762,0,0,0,86,6.59640412482702,0.4051571528838881
Medium Eng Team,10,5,3,1,1,20,10,True,200,100.0,7.243171563067678,116.83636691671678,11389.88963764093,21.16085199283156,0.0,91.14978288107667,78.94944818820466,85.50687779093394,8.162170286540189,0,0,0,103,5.841818345835839,0.3621585781533839
Medium Eng Team,10,5,3,1,1,20,11,True,200,100.0,5.483465739647172,96.2675637671047,9359.52117146109,21.183644991248887,0.0,91.04774080035844,68.79760585730546,84.89161215988476,6.814872207057607,0,0,0,93,4.813378188355236,0.2741732869823586
Medium Eng Team,10,5,3,1,1,20,12,True,200,100.0,8.993835945458777,147.756705674301,12752.725087003155,21.05822026770705,0.0,91.23620782569415,85.86362543501576,83.6707578693939,8.993835945458777,0,0,0,95,7.3878352837150505,0.44969179727293884
Medium Eng Team,10,5,3,1,1,20,13,True,200,100.0,5.3857795416194945,92.80715756704235,11739.215290565238,20.818815518248666,0.0,91.27871738353207,80.69607645282615,84.57123881599668,8.28606472385681,0,0,0,102,4.640357878352118,0.2692889770809747
Medium Eng Team,10,5,3,1,1,20,14,True,200,100.0,5.734054245816316,90.04825721045174,12131.939640273598,20.699224074438263,0.0,91.01536735033356,82.65969820136799,87.88945482350675,7.700225304306234,0,0,0,86,4.502412860522587,0.2867027122908158
Large Eng Team,15,5,3,1,1,25,0,True,200,100.0,5.479006196185697,81.53137435583757,11370.585241630826,21.400103095170923,0.0,90.49071501081751,73.05292620815415,81.56007889402255,7.4903268298215755,0,0,0,94,3.261254974233503,0.21916024784742788
Large Eng Team,15,5,3,1,1,25,1,True,200,100.0,8.186155528497737,133.88865345851573,11219.550697025104,21.420279461139987,0.0,90.48189212650435,71.59775348512551,85.9405787770158,8.186155528497737,0,0,0,96,5.355546138340629,0.3274462211399095
Large Eng Team,15,5,3,1,1,25,2,True,200,100.0,6.2218331544760535,114.65584798313334,11250.178321778756,21.00025303065369,0.0,89.53707996516921,73.75089160889378,84.18062725159845,8.026581355589025,0,0,0,95,4.586233919325334,0.24887332617904215
Large Eng Team,15,5,3,1,1,25,3,True,200,100.0,7.847109438731982,132.51496610699016,12286.756409122745,21.005031760795664,0.0,91.47243652973053,76.43378204561371,84.12946207476405,9.043396607480409,0,0,0,99,5.3005986442796065,0.3138843775492793
Large Eng Team,15,5,3,1,1,25,4,True,200,100.0,6.007349056962967,97.14657632768717,11821.802909379765,21.466851403475605,0.0,90.63762873388579,75.60901454689879,85.19661218983181,8.71229349609652,0,0,0,94,3.885863053107487,0.24029396227851868
Large Eng Team,15,5,3,1,1,25,5,True,200,100.0,7.3630792953080215,116.74342459707209,10813.201870496534,21.836833978699804,0.0,90.72638553389231,71.56600935248267,85.33558578615467,7.3630792953080215,0,0,0,91,4.669736983882884,0.29452317181232085
Large Eng Team,15,5,3,1,1,25,6,True,200,100.0,7.379854581810956,117.35717345226993,12341.087520735824,21.422990135158436,0.0,90.83811759536175,78.80543760367915,86.50333573440054,8.351190849388338,0,0,0,97,4.694286938090797,0.29519418327243824
Large Eng Team,15,5,3,1,1,25,7,True,200,100.0,5.862741154134458,113.35522075102237,12126.791336095745,21.26110715100736,0.0,91.1991735086709,78.13395668047875,86.37532130517552,7.6715297004585725,0,0,0,96,4.534208830040895,0.2345096461653783
Large Eng Team,15,5,3,1,1,25,8,True,200,100.0,6.090176414289377,96.09953412629582,12365.114974381202,20.57840767668519,0.0,91.27550262623737,78.82557487190601,87.72575416363854,8.401839208713703,0,0,0,94,3.843981365051833,0.24360705657157505
Large Eng Team,15,5,3,1,1,25,9,True,200,100.0,6.690712710189288,125.32347922966653,12580.794007448425,21.16902242369434,0.0,91.07028157744706,80.40397003724212,87.15996211982493,7.835759611958664,0,0,0,95,5.012939169186661,0.2676285084075715
Large Eng Team,15,5,3,1,1,25,10,True,200,100.0,6.182607729194477,90.3141387672005,10976.266459955843,21.571844866732647,0.0,90.5086427632853,71.88133229977925,84.39084856590179,7.675242440211568,0,0,0,105,3.61256555068802,0.2473043091677791
Large Eng Team,15,5,3,1,1,25,11,True,200,100.0,6.604602306911492,96.88692054794741,11249.043864281763,20.84525734738141,0.0,91.24748813054146,73.24521932140884,86.3196108677592,8.200813700831631,0,0,0,95,3.8754768219178963,0.26418409227645967
Large Eng Team,15,5,3,1,1,25,12,True,200,100.0,7.82730257489204,132.2494768689667,12305.368784012986,20.940729371857977,0.0,91.57358323369881,76.52684392006493,84.09733831915172,7.82730257489204,0,0,0,92,5.2899790747586675,0.31309210299568163
Large Eng Team,15,5,3,1,1,25,13,True,200,100.0,7.399748217385051,122.73645377600702,11827.98122367231,21.001732481821392,0.0,91.45574926345391,76.13990611836154,86.98143214367362,8.19577892148035,0,0,0,85,4.909458151040281,0.295989928695402
Large Eng Team,15,5,3,1,1,25,14,True,200,100.0,6.7927896952998355,130.28674116166434,12802.690591916768,20.762809926918262,0.0,91.25472784201261,80.01345295958382,84.31338139030908,8.526904658918092,0,0,0,88,5.211469646466574,0.2717115878119934
XLarge Eng Team,20,5,3,1,1,30,0,True,200,100.0,7.745470573488538,132.080064679033,14194.130521258781,20.76959452406588,0.0,91.28422986886818,80.47065260629392,87.35858418734671,7.998044956155208,0,0,0,90,4.402668822634434,0.2581823524496179
XLarge Eng Team,20,5,3,1,1,30,1,True,200,100.0,6.225278364128573,98.91054140892923,13056.728697099074,21.664024721322136,0.0,90.90938904479859,74.78364348549539,84.76633306488111,8.052164231597656,0,0,0,94,3.297018046964308,0.20750927880428577
XLarge Eng Team,20,5,3,1,1,30,2,True,200,100.0,9.259962691628312,152.44118024099004,13810.007734244815,20.753166206014555,0.0,91.46750993313702,78.55003867122409,87.86515294057801,9.259962691628312,0,0,0,95,5.081372674699668,0.3086654230542771
XLarge Eng Team,20,5,3,1,1,30,3,True,200,100.0,7.077712245043254,125.34720911564656,13599.165416425212,21.17201951458655,0.0,91.25935772068551,77.4958270821261,83.15988337831855,8.31901790425746,0,0,0,97,4.178240303854886,0.2359237415014418
XLarge Eng Team,20,5,3,1,1,30,4,True,200,100.0,5.731900590563821,116.740087195885,15318.241331760722,20.72046790343403,0.0,90.8789715682917,86.09120665880364,88.67447331435511,8.888654173846362,0,0,0,88,3.891336239862833,0.19106335301879404
XLarge Eng Team,20,5,3,1,1,30,5,True,200,100.0,6.735033050073428,123.94413598342851,12632.392990693153,21.619816826722257,0.0,91.39189238097943,72.66196495346577,84.50566633268622,7.106375151239354,0,0,0,92,4.131471199447617,0.22450110166911424
XLarge Eng Team,20,5,3,1,1,30,6,True,200,100.0,5.538433820505478,89.00291161413261,13348.8367570883,23.11417316693227,0.0,90.79515401047097,76.24418378544152,80.08513122076576,8.932599959983536,0,0,0,94,2.966763720471087,0.18461446068351595
XLarge Eng Team,20,5,3,1,1,30,7,True,200,100.0,6.599483016124343,132.93705023117005,13016.254373846245,21.459607652042045,0.0,90.96745423859895,74.58127186923117,85.44005717509852,7.779320384431143,0,0,0,94,4.431235007705668,0.21998276720414475
XLarge Eng Team,20,5,3,1,1,30,8,True,200,100.0,6.660394628567299,107.12894634635953,14095.50602211695,21.02808466573675,0.0,90.29227172606006,79.97753011058472,82.24317900553018,8.052259955447765,0,0,0,101,3.570964878211984,0.22201315428557664
XLarge Eng Team,20,5,3,1,1,30,9,True,200,100.0,5.881955873447099,103.28061088917053,12464.066899369405,20.991995057001475,0.0,91.27286701342815,71.82033449684702,84.14458647677603,7.977721775024982,0,0,0,106,3.4426870296390177,0.19606519578156997
XLarge Eng Team,20,5,3,1,1,30,10,True,200,100.0,6.800983924787018,136.84004775475424,13224.38667618967,20.698323194786738,0.0,90.6602484567939,75.62193338094833,86.41426679939492,7.972184834226995,0,0,0,109,4.561334925158475,0.22669946415956727
XLarge Eng Team,20,5,3,1,1,30,11,True,200,100.0,7.662351692346977,122.33341566159982,13199.47022946703,21.659916846838904,0.0,91.07025742407437,75.49735114733512,83.60480649680908,7.944938709297011,0,0,0,97,4.077780522053327,0.25541172307823257
XLarge Eng Team,20,5,3,1,1,30,12,True,200,100.0,7.704403368869154,127.21960894682896,12803.44259430419,21.1965782086211,0.0,91.03076677361474,73.5172129715209,85.64043720728037,7.731309030432744,0,0,0,95,4.240653631560965,0.2568134456289718
XLarge Eng Team,20,5,3,1,1,30,13,True,200,100.0,7.659217115864425,132.29723648274654,13025.153934077947,20.7356614589513,0.0,91.33217052807842,74.62576967038977,86.99960829487578,7.659217115864425,0,0,0,92,4.409907882758218,0.2553072371954808
XLarge Eng Team,20,5,3,1,1,30,14,True,200,100.0,7.9609137457327295,129.34879695949422,12771.202633131727,21.507751167692035,0.0,91.07540501266604,73.35601316565861,84.64187790416533,7.9609137457327295,0,0,0,98,4.311626565316474,0.2653637915244243
Small Sales Team,10,3,3,1,1,18,0,True,200,100.0,2.492222484346495,53.15629515307748,2226.089650332151,22.795611627147327,0.0,83.97397056623382,27.430448251660746,86.51228059139657,3.7683965673305857,0,0,0,200,2.9531275085043043,0.13845680468591637
Small Sales Team,10,3,3,1,1,18,1,False,24,60.69776839239402,0.0,4.756681104734912,-2.133709425696461,23.730133508759426,10.004646155662883,55.72416737649386,5.337900394565359,68.41418932724707,0.0,0,0,0,200,0.26426006137416175,0.0
Small Sales Team,10,3,3,1,1,18,2,True,200,100.0,5.328811438785776,89.15229141541849,5671.654676651415,21.23080232959439,0.0,87.99755134059573,47.95827338325707,85.52752191562222,5.685248316020851,0,1,0,143,4.952905078634361,0.2960450799325431
Small Sales Team,10,3,3,1,1,18,3,True,200,100.0,5.465668859324067,89.92079909170245,5385.278087862587,21.30894812142688,0.0,87.7591603860445,45.52639043931295,84.71550766021136,5.5337319289742135,0,1,0,175,4.995599949539025,0.30364826996244815
Small Sales Team,10,3,3,1,1,18,4,False,18,59.4619539772578,0.0,5.868776647843486,-1.6982502148591783,22.378584932063777,9.157901589922593,54.771663772564665,4.57960961873874,70.72713800151543,0.0,0,0,0,200,0.3260431471024159,0.0
Small Sales Team,10,3,3,1,1,18,5,True,200,100.0,5.651126300974095,89.64629855334714,5564.674629205268,21.419634115539885,0.0,87.46366294334713,48.823373146026334,85.14404245129646,5.651126300974095,0,1,0,149,4.980349919630396,0.3139514611652275
Small Sales Team,10,3,3,1,1,18,6,True,200,100.0,3.9099049703681583,58.76300150947509,2505.077990955707,22.15236992395196,0.0,84.27035375718802,29.125389954778534,85.13492619612842,3.9099049703681583,0,0,0,200,3.264611194970838,0.217216942798231
Small Sales Team,10,3,3,1,1,18,7,False,21,60.05607766567459,0.0,4.449139920167163,-2.3381779386882826,22.15134577945168,9.189705870313512,55.01838318594452,5.105365816244978,75.34035032539721,0.0,0,0,0,200,0.24717444000928682,0.0
Small Sales Team,10,3,3,1,1,18,8,True,200,100.0,4.022562001595938,67.985017986492,5063.672805733413,21.535597606151313,0.0,87.97451719795063,44.818364028667055,85.91163002459845,5.275223373280149,0,1,0,139,3.7769454436939998,0.2234756667553299
Small Sales Team,10,3,3,1,1,18,9,True,200,100.0,4.7795475126042035,72.69806759156624,6946.371805633982,22.21446497322938,0.0,88.04676332792609,48.53185902816991,81.29271727291489,5.664874159106375,0,1,0,149,4.038781532864792,0.2655304173669002
Small Sales Team,10,3,3,1,1,18,10,False,25,61.50968179653966,0.0,5.134954385398738,-0.633085340489024,24.399383370174483,10.253229675090646,56.24957030856889,5.449278410964491,73.32355413802945,0.0,0,0,0,200,0.28527524363326323,0.0
Small Sales Team,10,3,3,1,1,18,11,True,200,100.0,4.343708682748552,45.91657100650664,4304.009187433026,23.475018374948913,0.0,88.32923769968602,42.02004593716513,86.11448358156133,5.589219843536055,0,1,0,158,2.5509206114725913,0.24131714904158624
Small Sales Team,10,3,3,1,1,18,12,True,200,100.0,5.81002402374936,90.3407610878472,6371.352457931358,21.147433073260128,0.0,88.97261151940992,52.8567622896568,89.3965784299099,5.81002402374936,0,0,0,135,5.018931171547067,0.32277911243052
Small Sales Team,10,3,3,1,1,18,13,True,200,100.0,3.6873725858048223,49.09819749368147,4685.801830766211,22.5379346441018,0.0,88.16838751213905,44.42900915383106,83.5992410850938,5.487165009971783,0,0,0,173,2.7276776385378594,0.20485403254471235
